"阿","ā"
"阿姨","ā yí"
"挨","āi"
"挨","ái"
"矮","ǎi"
"爱","ài"
"爱国","ài guó"
"爱好","ài hào"
"爱护","ài hù"
"爱情","ài qíng"
"爱人","ài ren"
"安","ān"
"安定","ān dìng"
"安静","ān jìng"
"安排","ān pái"
"安培","ān péi"
"安全","ān quán"
"安慰","ān wèi"
"安心","ān xīn"
"安置","ān zhì"
"安装","ān zhuāng"
"氨","ān"
"氨基酸","ān jī suān"
"岸","àn"
"按","àn"
"按照","àn zhào"
"案","àn"
"案件","àn jiàn"
"暗","àn"
"暗示","àn shì"
"暗中","àn zhōng"
"凹","āo"
"熬","āo"
"敖","áo"
"奥秘","àomì"
"奥运会","ào yùn huì"
"八","bā" 
"巴","bā"
"扒","bā"
"拔","bá"
"把","bǎ"
"把握","bǎ wò"
"把儿","bà r"
"爸","bà"
"爸爸","bà bà"
"罢","bà"
"罢工","bà gōng"
"白","bái"
"白色","bái sè"
"白天","bái•tiān"
"百","bǎi"
"百年","bǎi nián"
"百姓","bǎi xìng"
"摆","bǎi"
"摆动","bǎi dòng"
"摆脱","bǎi tuō"
"败","bài"
"拜","bài"
"班","bān"
"般","bān"
"颁布","bān bù"
"搬","bān"
"搬家","bān jiā"
"搬运","bān yùn"
"板","bǎn"
"板凳","bǎn dèng"
"版块","bǎn kuài"
"版","bǎn"
"办","bàn"
"办法","bànfǎ"
"办公室","bàn gōng shì"
"办理","bàn lǐ"
"办事","bàn shì"
"半","bàn"
"半导体","bàn dǎo tǐ"
"半岛","bàn dǎo"
"半径","bàn jìng"
"半天","bàn tiān"
"半夜","bàn yè"
"扮演","bàn yǎn"
"伴","bàn"
"伴随","bàn suí"
"伴奏","bàn zòu"
"瓣","bàn"
"帮","bāng"
"帮忙","bāng máng"
"帮助","bāng zhù"
"榜样","bǎng yàng"
"棒","bàng"
"傍晚","bàng wǎn"
"包","bāo"
"包袱","bāo fu"
"包干儿","bāo gàn r"
"包含","bāo hán"
"包括","bāo kuò"
"包围","bāo wéi"
"包装","bāo zhuāng"
"孢子","bāo zǐ"
"炮","bāo"
"薄","báo"
"饱","bǎo"
"饱和","bǎo hé"
"宝","bǎo"
"宝贝","bǎo bèi"
"宝贵","bǎo guì"
"宝石","bǎo shí"
"保","bǎo"
"保持","bǎo chí"
"保存","bǎo cún"
"保管","bǎo guǎn"
"保护","bǎo hù"
"保留","bǎo liú"
"保守","bǎo shǒu"
"保卫","bǎo wèi"
"保险","bǎo xiǎn"
"保障","bǎo zhàng"
"保证","bǎo zhèng"
"报","bào"
"报酬","bào•chóu"
"报道","bào dào"
"报复","bào•fù"
"报告","bào gào"
"报刊","bào kān"
"报名","bào míng"
"报纸","bào zhǐ"
"抱","bào"
"暴动","bào dòng"
"暴力","bào lì"
"暴露","bào lù"
"暴雨","bào yǔ"
"爆发","bào fā"
"爆炸","bào zhà"
"杯","bēi"
"背","bēi"
"悲哀","bēi āi"
"悲惨","bēi cǎn"
"悲剧","bēi jù"
"北","běi"
"北方","běi fāng"
"贝","bèi"
"备","bèi"
"背","bèi"
"背后","bèi hòu"
"背景","bèi jǐng"
"倍","bèi"
"被","bèi"
"被动","bèi dòng"
"被告","bèi gào"
"被子","bèi zi"
"辈","bèi"
"奔","bēn"
"奔跑","bēn pǎo"
"本","běn"
"本地","běn dì"
"本来","běn lái"
"本领","běn lǐng"
"本能","běn néng"
"本人","běn rén"
"本身","běn shēn"
"本事","běn shì"
"本事","běn shi"
"本体","běn tǐ"
"本性","běn xìng"
"本质","běn zhì"
"苯","běn"
"奔","bèn"
"笨","bèn"
"崩溃","bēng kuì"
"蹦","bèng"
"逼","bī"
"鼻","bí"
"鼻孔","bí kǒng"
"鼻子","bí zi"
"比","bǐ"
"比价","bǐ jià"
"比较","bǐ jiào"
"比例","bǐ lì"
"比如","bǐ rú"
"比赛","bǐ sài"
"比喻","bǐ yù"
"比重","bǐ zhòng"
"彼","bǐ"
"彼此","bǐ cǐ"
"笔","bǐ"
"笔记","bǐ jì"
"笔者","bǐ zhě"
"必","bì"
"必定","bì dìng"
"必然","bì rán"
"必然性","bì rán xìng"
"必须","bì xū"
"必需","bì xū"
